business_id,name,address,city,county,postcode,state,latitude,longitude,categories
FkS4OmTBeNHPK3sV4PBcIw,Heartbreak Hill Running Company,294 Massachusetts Ave,Cambridge,Middlesex County,02238,MA,42.362186,-71.098656,"Active Life, Sporting Goods, Fashion, Shoe Stores, Shopping, Sports Wear, Fitness & Instruction"
vZNOofwzGjVMSlBKRo1QCA,Flex Appeal,276 Cambridge St,Burlington,Middlesex County,01803-2985,MA,42.514719,-71.203967,"Vitamins & Supplements, Fashion, Sporting Goods, Sports Wear, Specialty Food, Food, Health Markets, Shopping"
0TXro5LzKPVsWcIqePSLOA,Bicycle One,82 Mill St,Gahanna,Franklin County,43230,OH,40.019761,-82.87941,"Bikes, Shopping, Bike Repair/Maintenance, Local Services, Sporting Goods"
EZNCMWwmqlrIfblMm7KJtw,Ride This,17036 SE McKinley Rd,Gresham,Multnomah County,97080,OR,45.474922,-122.4869099,"Sporting Goods, Shopping, Bike Rentals, Active Life, Bikes"
zjWGMm1SGJWeSaDpVVDU4g,Modell's Sporting Goods,480 Boylston St,Boston,Suffolk County,02116,MA,42.35083715,-71.0735049032,"Sports Wear, Sporting Goods, Shopping, Fashion"
u1at3Wrovnm0628ziAGGDw,Zeal Optics,1230 Spruce St,Boulder,Boulder County,80302,CO,40.01885,-105.279758,"Outdoor Gear, Eyewear & Opticians, Fashion, Sports Wear, Shopping, Sporting Goods"
w2-YU0fwwTe0bPgftW1C_A,Cal Skate Skateboards,210 NW 6th Ave,Portland,Multnomah County,97209,OR,45.5247842988,-122.6763615188,"Sporting Goods, Skate Shops, Shopping, Fashion, Outdoor Gear, Sports Wear"
Ggj82AEtf-6St6_0OvcPxw,Vancouver Cyclery,"10108 NE Hwy 99, Ste B",Vancouver,Clark County,98686,WA,45.6946763,-122.656402,"Local Services, Bikes, Bike Repair/Maintenance, Shopping, Sporting Goods"
cf3cpzJKYcwYYLwCdZt4nw,Active NW,8050 E Mill Plain Blvd,Vancouver,Clark County,98664,WA,45.6252633,-122.5899476,"Sports Wear, Fashion, Sporting Goods, Shopping, Shoe Stores"
OsX9oHYQcQaZOkuGp7dYMQ,Eastside Longboards,SE. 65th Ave & Foster Rd,Portland,Multnomah County,97206,OR,45.4892947,-122.5959259,"Sporting Goods, Skate Shops, Active Life, Private Tutors, Education, Skating Rinks, Shopping, Specialty Schools"
2ioOPxil1PNtVLnW3qLlCg,The Missing Link,10999 SE Main St,Milwaukie,Clackamas County,97222,OR,45.4433398,-122.6414831,"Shopping, Bikes, Sporting Goods"
5uS4bHrWykSsjFJzG0rPiA,Rocky Mountain Anglers,1904 Arapahoe Ave,Boulder,Boulder County,80306,CO,40.0144051,-105.2699966,"Shopping, Hunting & Fishing Supplies, Sporting Goods, Outdoor Gear, Active Life, Fishing"
HPQ5D1JcwiZzeKnbt9cmZA,Victoria's Secret,4070 The Strand E,Columbus,Franklin County,43230,OH,40.052713,-82.914804,"Fashion, Shopping, Sports Wear, Women's Clothing, Accessories, Sporting Goods, Lingerie"
Bng9dv3Hl_DIB0NlyNlkZA,Lucky 2 Strokes,12 Penniman Rd,Boston,Suffolk County,02134-1311,MA,42.3560044,-71.1362533,"Bikes, Sporting Goods, Automotive, Motorcycle Gear, Motorcycle Repair, Shopping, Social Clubs, Motorcycle Dealers, Arts & Entertainment"
zKgGv_uAO3bn32jMeLy00A,REI,7410 SW Bridgeport Rd,Tigard,Washington County,97224,OR,45.3931124,-122.7524339,"Sporting Goods, Bikes, Sports Wear, Shopping, Outdoor Gear, Fashion"
